; scan	en	en_shift	ru	ru_shift	bank	bank_shift
2	49	33	49	33	49	33
3	50	64	50	64	50	64
4	51	35	51	35	51	35
5	52	36	52	36	52	36
6	53	37	53	37	53	37
7	54	94	54	94	54	94
8	55	38	55	38	55	38
9	56	42	56	42	56	42
10	57	40	57	40	57	40
11	48	41	48	41	48	41
100	0	0	1105	1025	0	0
16	113	81	1100	1068	113	81
21	121	89	1091	1059	121	89
24	111	79	1072	1040	111	79
22	117	85	1078	1046	117	85
13	61	43	1102	1070	61	43
45	120	88	1075	1043	120	88
38	108	76	1073	1041	108	76
32	100	68	1088	1056	100	68
25	112	80	1083	1051	112	80
44	122	90	1093	1061	122	90
48	98	66	1092	1060	98	66
46	99	67	1080	1048	99	67
23	105	73	1077	1045	105	73
30	97	65	1086	1054	97	65
18	101	69	1082	1050	101	69
12	45	95	1103	1071	45	95
37	107	75	1084	1052	107	75
35	104	72	1090	1058	104	72
20	116	84	1089	1057	116	84
49	110	78	1085	1053	110	78
31	115	83	1079	1047	115	83
17	119	87	1097	1065	119	87
40	39	34	1098	1066	39	34
51	44	60	1101	1069	44	60
52	46	62	1099	1067	46	62
39	59	58	1087	1055	59	58
36	106	74	1081	1049	106	74
50	109	77	1076	1044	109	77
34	103	71	1095	1063	103	71
33	102	70	1096	1064	102	70
47	118	86	1094	1062	118	86
43	92	124	44	60	92	124
53	47	63	46	62	47	63
19	114	82	1074	1042	114	82
26	91	123	91	123	91	123
27	93	125	93	125	93	125
41	96	126	96	126	96	126
